chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_celltype_chimp	Bonferroni_celltype_human	Bonferroni_celltype_macaq
chr1	10509738	10510967	OD_hyper	OD_hyper	1230	15	324.088418555534	0.185	0.7352	0.2433	0.8336	0.1481	0.8131	1.42247501644998e-74	1.07770378479821e-115	0
chr12	79576371	79581787	OD_hyper	OD_hyper	5417	16	323.584505370695	0.4585	0.8821	0.4452	0.8711	0.4604	0.7781	6.41138593090426e-41	7.77585991448186e-254	6.3511720137201e-82
chr19	12950269	12953805	OD_hyper	OD_hyper	3537	20	323.569550575283	0.2058	0.4591	0.4164	0.7532	0.2227	0.5927	5.65281078964871e-47	1.24746466621828e-70	5.3205474930375e-144
chr20	8126698	8138870	OD_hyper	OD_hyper	12173	26	323.351990979803	0.5374	0.8329	0.5772	0.8217	0.6202	0.8606	1.07969531815353e-27	5.09518000543506e-128	9.41468177193824e-264
chr5	4092652	4093798	OD_hyper	OD_hyper	1147	19	323.2286075971	0.5257	0.9435	0.5599	0.9316	0.5617	0.8894	5.02151244965918e-26	5.11077593953216e-161	4.284859206109e-75
chr5	161495804	161502232	OD_hyper	OD_hyper	6429	21	323.155972729238	0.433	0.7689	0.4664	0.7586	0.5325	0.7499	1.07372460637234e-55	2.37515961834127e-153	2.81602797344658e-143
chr7	68802862	68804466	OD_hyper	OD_hyper	1605	25	323.106766063149	0.6266	0.9365	0.7047	0.9427	0.5192	0.9089	1.25428514047761e-15	9.71762589169969e-124	5.06376124988179e-45
chr6	16763651	16766603	OD_hyper	OD_hyper	2953	16	322.952856149383	0.4407	0.8192	0.404	0.8046	0.5664	0.8011	9.6724819725407e-189	4.03058875167364e-210	2.07192995399587e-62
chr8	136539816	136544549	OD_hyper	OD_hyper	4734	24	322.938235475015	0.6279	0.9044	0.6169	0.8704	0.5165	0.673	3.2009159954853e-16	4.3500609567464e-80	2.7919343138009e-10
chr15	38849905	38854580	OD_hyper	OD_hyper	4676	29	322.847025659646	0.6753	0.8594	0.6513	0.8753	0.6962	0.8847	1.03305433045435e-20	2.43511977183787e-92	1.93082797677424e-18
chr18	3702208	3706945	OD_hyper	OD_hyper	4738	36	322.696457915399	0.4995	0.7121	0.4835	0.7287	0.4398	0.6624	1.76367035614865e-26	1.09505292574876e-25	2.18066934531593e-54
chr9	87285923	87291174	OD_hyper	OD_hyper	5252	22	322.685905690066	0.0476	0.3246	0.0622	0.4239	0.0368	0.3006	2.09098779131333e-91	2.09837560917849e-75	5.493112745634e-131
chr6	16103362	16106599	OD_hyper	OD_hyper	3238	22	322.682977941414	0.586	0.9098	0.6122	0.9177	0.6916	0.9208	4.44318178450448e-69	9.97521139528212e-128	2.39349291359609e-80
chr14	39896151	39899706	OD_hyper	OD_hyper	3556	19	322.6716695619	0.312	0.7597	0.4406	0.779	0.4209	0.713	3.95447195714631e-25	1.00992515241004e-113	7.49549543283582e-155
chr19	19342833	19343962	OD_hyper	OD_hyper	1130	16	322.56269928628	0.2881	0.8829	0.4043	0.8456	0.3533	0.8236	1.19962752528572e-15	9.1511096614615e-135	3.64438444139136e-106
chr12	110790712	110792483	OD_hyper	OD_hyper	1772	25	322.497378007823	0.4365	0.7919	0.4733	0.7479	0.5548	0.8747	2.78116257970075e-31	2.30596668193787e-161	2.72823956939837e-80
chr7	26231401	26235700	OD_hyper	OD_hyper	4300	24	322.481218401079	0.3883	0.6828	0.355	0.6576	0.3228	0.498	1.39929357311483e-54	1.86151995633882e-54	1.084355875258e-74
chr4	72318916	72321735	OD_hyper	OD_hyper	2820	15	322.442300424581	0.5772	0.9268	0.5267	0.887	0.5314	0.7598	1.27707108230558e-115	5.81865594445083e-254	6.85493195623228e-82
chr9	101458444	101459856	OD_hyper	OD_hyper	1413	21	322.376322737781	0.5698	0.9321	0.5701	0.9271	0.3363	0.8691	1.2498588812566e-21	6.4847072794792e-87	4.44699235041027e-248
chr3	64089835	64093962	OD_hyper	OD_hyper	4128	21	322.304929797064	0.6753	0.9475	0.7006	0.9254	0.5388	0.894	4.6630712131691e-150	7.92825402714663e-182	5.1368732564384e-150
chr11	132948825	132950792	OD_hyper	OD_hyper	1968	23	322.283361133105	0.4207	0.7475	0.4023	0.7318	0.5202	0.7367	1.00495896104719e-50	2.44295869598188e-97	3.59966139075216e-60
chr1	173929779	173931044	OD_hyper	OD_hyper	1266	16	322.105268054684	0.491	0.9322	0.4503	0.8964	0.7998	0.9555	2.68510427704569e-41	1.32109394820316e-185	5.01968251525314e-110
chr11	117231634	117232853	OD_hyper	OD_hyper	1220	15	322.032150244074	0.4287	0.9563	0.4607	0.9608	0.3694	0.9438	1.57021979696657e-144	6.77897278691809e-247	4.36833196519718e-191
chr3	120628444	120632033	OD_hyper	OD_hyper	3590	18	321.914182135796	0.2985	0.6688	0.27	0.6733	0.538	0.7588	2.02699731113089e-30	2.16100543216401e-76	2.83894767858631e-85
chr1	230332984	230337324	OD_hyper	OD_hyper	4341	25	321.620212721291	0.6303	0.8966	0.6697	0.8481	0.629	0.8626	4.41297695970237e-28	1.45909021821497e-62	7.21785651093251e-103
chr16	24185433	24187269	OD_hyper	OD_hyper	1837	13	321.535405834434	0.3536	0.9571	0.4053	0.9351	0.3593	0.9443	2.17014891419002e-59	1.1259182684152e-218	1.1854861670654e-302
chr18	42310775	42312785	OD_hyper	OD_hyper	2011	17	321.394669172862	0.6567	0.9417	0.5321	0.913	0.462	0.7864	2.94633435490739e-197	9.45782176720576e-120	2.11876621129622e-176
chr12	106497777	106502288	OD_hyper	OD_hyper	4512	30	321.336165308666	0.3894	0.6739	0.3478	0.6081	0.4918	0.6444	1.60757797117566e-11	1.57420185685293e-37	4.26955778853875e-17
chr5	167574081	167575009	OD_hyper	OD_hyper	929	12	321.146798886957	0.3735	0.9213	0.3756	0.9083	0.3333	0.8454	6.0341247617409e-127	1.21375082174674e-156	7.88969515911616e-160
chr1	15668208	15669792	OD_hyper	OD_hyper	1585	17	321.126219531922	0.5931	0.9248	0.6601	0.9272	0.4518	0.9152	3.42209631209695e-75	5.51344229153006e-127	3.88033458300049e-281
chr9	2174487	2177233	OD_hyper	OD_hyper	2747	22	321.002496511021	0.6318	0.8897	0.6124	0.8612	0.6516	0.8164	4.16940429936738e-40	1.00153748827702e-172	6.55935683715375e-38
chr10	75619027	75622552	OD_hyper	OD_hyper	3526	26	320.985507995888	0.5316	0.8147	0.57	0.8392	0.3723	0.6753	4.6275370483313e-24	1.70518568596876e-31	1.54002972449824e-54
chr1	240448059	240450745	OD_hyper	OD_hyper	2687	21	320.980438919869	0.5911	0.9365	0.6695	0.9103	0.6053	0.8037	9.81951270024704e-16	1.77359447981548e-120	7.66907232410665e-28
chr7	112719828	112725778	OD_hyper	OD_hyper	5951	25	320.90432852925	0.4364	0.7357	0.4628	0.7151	0.4336	0.8516	5.29705514851805e-42	6.39983030800049e-68	4.85975949595359e-246
chr9	128728560	128729601	OD_hyper	OD_hyper	1042	19	320.904214331037	0.5267	0.8749	0.4379	0.8769	0.4038	0.8596	3.56935559542417e-69	4.53829956721262e-146	1.79503253689321e-298
chr2	8335898	8338655	OD_hyper	OD_hyper	2758	21	320.838917159438	0.6032	0.9211	0.6185	0.9284	0.8008	0.9528	2.04533250690325e-20	1.76131642754519e-143	1.4456953558036e-74
chr2	145615186	145618017	OD_hyper	OD_hyper	2832	17	320.543668723204	0.4956	0.9284	0.4996	0.902	0.5759	0.8558	5.84545525957469e-25	4.60170877397865e-204	5.36673703360159e-81
chr20	49134294	49138235	OD_hyper	OD_hyper	3942	25	320.229330095326	0.6762	0.9165	0.6618	0.9261	0.6811	0.8911	1.64172891270036e-30	8.67422178320374e-202	2.6372028173401e-98
chr1	109543970	109546162	OD_hyper	OD_hyper	2193	13	320.208354544322	0.4587	0.9455	0.4656	0.9323	0.4795	0.903	1.48948191548683e-198	1.0509430834873e-300	0
chr3	176288355	176290798	OD_hyper	OD_hyper	2444	22	320.115899489813	0.637	0.9331	0.6025	0.9224	0.6137	0.9474	3.83215684986423e-27	2.36362008729397e-135	1.63504876412583e-108
chr7	132084969	132086059	OD_hyper	OD_hyper	1091	11	319.25954364593	0.2786	0.9453	0.3428	0.9422	0.2837	0.9428	8.37030135583579e-129	0	0
chr19	47106427	47118394	OD_hyper	OD_hyper	11968	25	319.183106342922	0.3788	0.6282	0.5772	0.7564	0.4235	0.6359	2.89603136991626e-41	8.61648314258287e-85	9.75363957874253e-48
chr11	126935692	126937646	OD_hyper	OD_hyper	1955	14	319.024870460004	0.4342	0.9209	0.4705	0.9393	0.3947	0.8257	2.34825798382925e-63	4.98206712594546e-287	1.26108909799248e-55
chr3	54158183	54160783	OD_hyper	OD_hyper	2601	16	318.930479256649	0.346	0.7657	0.3983	0.8488	0.3973	0.7971	5.07487064547815e-62	2.56213282434807e-133	1.52693052579932e-208
chr21	42495978	42498089	OD_hyper	OD_hyper	2112	22	318.863259226458	0.4971	0.8258	0.5362	0.8446	0.399	0.7583	2.48122893441045e-36	4.00772414680955e-88	3.39928171323883e-60
chr11	57229007	57237397	OD_hyper	OD_hyper	8391	32	318.85955840369	0.4669	0.7243	0.5868	0.7551	0.4373	0.6474	3.08986553976529e-08	2.36160307161871e-50	2.8568035949656e-14
chr5	14356827	14360539	OD_hyper	OD_hyper	3713	25	318.84842156492	0.4374	0.8017	0.5002	0.8567	0.6909	0.8554	3.1837412144774e-56	1.27743542610805e-51	1.56424747605731e-34
chr6	88879020	88882245	OD_hyper	OD_hyper	3226	27	318.813040941172	0.6325	0.8753	0.6848	0.8839	0.6444	0.8241	6.95644522180645e-20	2.26858331216229e-54	6.30939064731365e-43
chr11	17781285	17783144	OD_hyper	OD_hyper	1860	16	318.489656036388	0.5905	0.8336	0.4697	0.8245	0.6817	0.8334	5.22270095144454e-89	6.47868732386709e-96	2.81571978367618e-161
chr3	4627900	4632170	OD_hyper	OD_hyper	4271	20	318.473809563811	0.5079	0.9152	0.5926	0.9005	0.6646	0.9123	2.08877002610147e-21	5.39745665899646e-203	2.27991821536954e-125
chr4	24469334	24471429	OD_hyper	OD_hyper	2096	24	318.468576220047	0.2817	0.6303	0.3175	0.6427	0.3606	0.7158	1.24430960688363e-24	7.38177723535479e-52	4.45427933084072e-128
chr14	30068292	30071658	OD_hyper	OD_hyper	3367	19	318.171323522661	0.5539	0.9429	0.5645	0.9188	0.6563	0.8774	8.00305002311022e-25	6.61313628045969e-118	1.65168025090337e-60
chr17	30982627	30986395	OD_hyper	OD_hyper	3769	26	318.161248416262	0.5583	0.8469	0.6375	0.8636	0.4025	0.799	4.51980438589259e-35	5.24693865858417e-115	5.59024889100035e-91
chr1	239923504	239927622	OD_hyper	OD_hyper	4119	26	318.107346963558	0.6179	0.8909	0.5812	0.8672	0.6142	0.776	1.19194740166261e-35	6.61201544075903e-97	3.07330018059179e-25
chr21	46371514	46376337	OD_hyper	OD_hyper	4824	25	317.766518415588	0.7126	0.8928	0.5838	0.8886	0.7286	0.9046	1.94434753003164e-18	7.05915306633326e-91	5.47872699219322e-36
chr6	44329219	44331042	OD_hyper	OD_hyper	1824	17	317.658513383255	0.3988	0.8716	0.4002	0.8517	0.2294	0.6305	1.93932510002116e-52	2.33089401111049e-129	2.89348073061129e-121
chr13	36397867	36399433	OD_hyper	OD_hyper	1567	17	317.537009587781	0.4727	0.9564	0.5802	0.9436	0.4553	0.8594	2.45175961534382e-17	0	3.02963171805055e-76
chr2	197396894	197400547	OD_hyper	OD_hyper	3654	20	317.532884087652	0.3748	0.7478	0.4494	0.7905	0.4647	0.9136	3.72954465061956e-183	2.20110539839369e-90	0
chr3	18104133	18107920	OD_hyper	OD_hyper	3788	17	317.41231147706	0.5365	0.9263	0.5421	0.9207	0.623	0.9171	2.38237982748737e-29	4.18103784678483e-197	1.42708830854899e-210
chr7	8253652	8256176	OD_hyper	OD_hyper	2525	20	317.289087370132	0.4659	0.832	0.5243	0.8274	0.3671	0.8658	4.46939268749768e-30	2.78304753835033e-120	1.06117997885496e-112
chr3	188604771	188607129	OD_hyper	OD_hyper	2359	20	317.270229917625	0.3984	0.7793	0.4491	0.8028	0.4152	0.6952	3.34412298640684e-51	2.96944822892681e-107	3.62660774859146e-152
chr10	115716500	115719454	OD_hyper	OD_hyper	2955	22	317.225711172096	0.6124	0.8922	0.4454	0.8522	0.6372	0.8751	6.34096091749282e-90	3.03255092717098e-110	3.36651442023164e-105
chr14	71298829	71300192	OD_hyper	OD_hyper	1364	22	317.120422722037	0.4678	0.8672	0.473	0.8876	0.4042	0.5791	6.39249228324195e-43	1.25146706857456e-152	1.06369715359338e-10
chr9	101092846	101095763	OD_hyper	OD_hyper	2918	20	317.087591950035	0.5704	0.8664	0.5184	0.8809	0.6184	0.8817	1.08109855525717e-52	5.01355226513062e-151	2.25587404524606e-87
chr17	9830951	9832984	OD_hyper	OD_hyper	2034	22	317.046089454921	0.5111	0.8861	0.6944	0.9171	0.3919	0.812	7.63249470598609e-61	1.80692962646323e-148	4.66561205115428e-59
chr1	7780324	7783344	OD_hyper	OD_hyper	3021	22	316.988940343779	0.5925	0.8921	0.5378	0.8786	0.7107	0.879	2.76270918500794e-112	1.43422753083332e-131	1.39569203039137e-66
chr1	50571056	50575956	OD_hyper	OD_hyper	4901	38	316.916005010361	0.2813	0.4771	0.29	0.4441	0.2976	0.4648	1.51019468809649e-23	2.75797747925703e-39	3.75195587035381e-23
chr10	11224220	11227526	OD_hyper	OD_hyper	3307	20	316.898243215743	0.6154	0.8811	0.617	0.9092	0.531	0.8364	2.44348461066795e-35	1.04808651245754e-78	1.32383703378103e-97
chr11	125149778	125152769	OD_hyper	OD_hyper	2992	17	316.733172360603	0.5595	0.879	0.5616	0.9253	0.5645	0.8676	1.45345871208662e-55	7.22242134085434e-120	1.36709126933315e-198
chr6	170079440	170080855	OD_hyper	OD_hyper	1416	16	316.646289979785	0.5502	0.9608	0.5609	0.9681	0.5749	0.9443	1.37387258045851e-24	1.7779310106321e-253	6.09797398859246e-111
chr12	100902462	100904223	OD_hyper	OD_hyper	1762	11	316.603546146741	0.2915	0.8947	0.3204	0.8759	0.3593	0.8562	1.71986434158431e-122	3.74967497503497e-247	2.49916211027895e-183
chr7	137452611	137454001	OD_hyper	OD_hyper	1391	16	316.391576073606	0.3247	0.8133	0.3069	0.6711	0.3344	0.7569	5.27114743118027e-55	9.39636765986179e-100	1.54043283043567e-79
chr12	121640107	121641553	OD_hyper	OD_hyper	1447	18	316.248184262774	0.4501	0.8714	0.498	0.799	0.4695	0.6565	5.3470231779211e-17	1.92221516503784e-144	1.29017854918254e-21
chr17	41483148	41484662	OD_hyper	OD_hyper	1515	16	316.245153019651	0.2661	0.8588	0.3771	0.8715	0.473	0.8592	6.53811733765608e-91	3.90524140004613e-132	2.06752076570657e-108
chr5	71445556	71449990	OD_hyper	OD_hyper	4435	22	316.124027109	0.476	0.819	0.5528	0.8824	0.7138	0.8701	1.92297061435817e-22	3.87004858251455e-156	1.35762440566505e-67
chr5	13993708	13995571	OD_hyper	OD_hyper	1864	15	316.073920196944	0.5731	0.9357	0.3273	0.9044	0.7469	0.9554	3.64958433205156e-73	5.82240508183749e-161	1.10905009542272e-113
chr2	166535156	166535684	OD_hyper	OD_hyper	529	14	316.00415445629	0.3116	0.8817	0.3579	0.857	0.4228	0.9362	6.62929690485789e-44	1.33029835841552e-128	1.30058513916839e-93
chr16	1766856	1767891	OD_hyper	OD_hyper	1036	17	316.003119500833	0.4534	0.9409	0.4563	0.9352	0.3705	0.9122	4.77796888734185e-41	8.79247997647931e-104	1.57735674680207e-219
chr1	12403683	12405993	OD_hyper	OD_hyper	2311	16	315.712833499027	0.3592	0.8772	0.4438	0.8692	0.4349	0.8033	1.55361800675468e-31	7.94501695223459e-84	3.13648574282084e-116
chr18	3540151	3543784	OD_hyper	OD_hyper	3634	25	315.702416262393	0.5934	0.9199	0.6499	0.913	0.6622	0.8464	2.39136104269644e-29	7.02993201464222e-107	1.80274487793196e-82
chr2	47027457	47031720	OD_hyper	OD_hyper	4264	23	315.679068821044	0.5515	0.8329	0.539	0.7921	0.5129	0.7555	7.01886933735424e-19	1.01669831411807e-118	7.2553715336802e-44
chr3	15687194	15688286	OD_hyper	OD_hyper	1093	15	315.603404899547	0.4315	0.8816	0.4651	0.9115	0.4591	0.9191	3.1409530265692e-36	5.76056951089179e-61	2.47800989777881e-85
chr5	17272521	17275373	OD_hyper	OD_hyper	2853	20	315.535833709991	0.5528	0.867	0.532	0.8724	0.5028	0.8715	1.73757148071226e-86	3.15464718540871e-77	9.14301759402706e-246
chr2	28618049	28619433	OD_hyper	OD_hyper	1385	18	315.462025869136	0.3083	0.7687	0.3057	0.7428	0.3692	0.8131	1.03335141588435e-36	8.25505304315101e-42	5.19963855077705e-88
chr10	131423916	131426250	OD_hyper	OD_hyper	2335	21	315.152742438962	0.4247	0.8432	0.5888	0.8665	0.6512	0.9145	8.21757128238915e-11	3.18865698935899e-43	3.17300241079829e-64
chr11	132056504	132059757	OD_hyper	OD_hyper	3254	20	315.105592616288	0.5276	0.8851	0.4936	0.8507	0.4734	0.8077	2.99324498094406e-56	1.06774615039349e-259	3.81055128278454e-42
chr2	235973130	235974468	OD_hyper	OD_hyper	1339	19	315.042838677644	0.5812	0.9298	0.5928	0.9542	0.7718	0.9356	8.85867703204635e-21	1.07704773070341e-122	3.98614163988085e-45
chr11	46779918	46782671	OD_hyper	OD_hyper	2754	21	315.033846216654	0.5024	0.8592	0.6036	0.9157	0.5281	0.9029	1.96775575287907e-38	4.72441394468711e-89	2.10422573369739e-196
chr10	75627442	75631588	OD_hyper	OD_hyper	4147	23	315.00827187606	0.5009	0.7836	0.5158	0.8235	0.4315	0.8135	3.53224399980497e-24	7.80851746148441e-32	1.63730259563176e-78
chr9	134974070	134976178	OD_hyper	OD_hyper	2109	18	314.969911123009	0.4865	0.8535	0.4998	0.8315	0.4344	0.7882	2.39152320540355e-22	5.03898288101086e-85	3.88737746776858e-108
chr1	201640987	201644553	OD_hyper	OD_hyper	3567	25	314.964470337512	0.5034	0.7382	0.4796	0.7311	0.524	0.7026	3.91981532683273e-18	6.81711823620936e-48	7.40245648214562e-59
chr15	78557784	78559638	OD_hyper	OD_hyper	1855	16	314.95648911305	0.2664	0.7158	0.2673	0.7609	0.3156	0.8871	9.07841339631238e-158	8.16217176980699e-163	0
chr1	240361248	240363091	OD_hyper	OD_hyper	1844	17	314.937635153608	0.471	0.9421	0.6439	0.9508	0.5868	0.9227	1.03006524365339e-23	5.07889357833347e-155	2.89870862909749e-115
chr10	99733150	99734330	OD_hyper	OD_hyper	1181	18	314.767697998556	0.2886	0.7581	0.3089	0.79	0.2636	0.5879	8.96510580880285e-63	5.94528727993425e-86	9.88647089876423e-47
chr4	119664141	119668239	OD_hyper	OD_hyper	4099	22	314.75356796961	0.586	0.9388	0.6039	0.9302	0.6448	0.931	1.38773321608856e-22	8.15417504033841e-68	9.07771996028507e-106
chr15	92236735	92238071	OD_hyper	OD_hyper	1337	16	314.744695660068	0.3039	0.7411	0.4097	0.8095	0.6148	0.8166	4.20748126339828e-92	4.32371607142549e-70	5.5038818851573e-64
chr3	10140047	10142096	OD_hyper	OD_hyper	2050	15	314.45515579074	0.5467	0.9597	0.542	0.9499	0.6418	0.9578	3.76017390430364e-55	5.03203363384819e-168	3.76553609007747e-162
chr1	21122410	21123406	OD_hyper	OD_hyper	997	22	314.409594900221	0.4843	0.8997	0.6458	0.9528	0.7027	0.9223	6.53493940681023e-55	6.13485129843899e-95	6.45233037852178e-46
chr14	100356587	100359196	OD_hyper	OD_hyper	2610	20	314.314551804176	0.5319	0.9059	0.5449	0.8711	0.6498	0.8192	6.72240857508981e-15	1.56301244959033e-117	1.04857627892954e-40
chr11	125153726	125155186	OD_hyper	OD_hyper	1461	13	314.222514117257	0.3625	0.9071	0.3008	0.8842	0.4343	0.9116	8.9507165994387e-139	1.81675077721994e-273	2.44823153708765e-158
chr1	110706483	110709063	OD_hyper	OD_hyper	2581	16	314.19355384188	0.3668	0.9192	0.3976	0.8542	0.3058	0.768	5.18601776840096e-65	2.85362421444291e-207	3.71552969177366e-197
chr11	45253793	45257199	OD_hyper	OD_hyper	3407	18	314.061439966463	0.5308	0.8044	0.5421	0.9199	0.5544	0.7552	7.66741833684806e-17	3.68514255286891e-37	1.95497902869465e-34
chr2	200252416	200255972	OD_hyper	OD_hyper	3557	18	314.04218595644	0.5377	0.9508	0.594	0.9114	0.5261	0.9368	3.47351816508146e-25	6.12608727177811e-121	5.1771670812521e-151
chr3	4791376	4794192	OD_hyper	OD_hyper	2817	21	313.965568049056	0.4504	0.8576	0.4642	0.8669	0.5184	0.7818	1.74793126563185e-31	9.56828729330231e-95	2.47274091311101e-108
chr18	20837711	20839326	OD_hyper	OD_hyper	1616	20	313.94730895189	0.3242	0.7786	0.4177	0.8618	0.2695	0.7274	1.10348976600266e-51	5.04570179276999e-85	1.66672569014041e-137
chr12	52141897	52143916	OD_hyper	OD_hyper	2020	15	313.878857703252	0.4143	0.9327	0.46	0.9333	0.434	0.9333	1.20536187403685e-23	1.32379360429821e-181	3.43966622035792e-138
chr3	8637402	8638505	OD_hyper	OD_hyper	1104	11	313.468659005283	0.3575	0.9394	0.3521	0.9147	0.6069	0.7839	1.10409661514517e-302	0	1.00667531067628e-15
chr8	19574219	19577810	OD_hyper	OD_hyper	3592	20	313.318759963442	0.6079	0.9357	0.6121	0.9034	0.7336	0.8892	5.29719484657897e-15	1.18139506644913e-136	9.38692242440467e-43
chr11	85952027	85955219	OD_hyper	OD_hyper	3193	22	313.254795084905	0.4749	0.8025	0.4836	0.791	0.4579	0.7847	8.19429703870918e-94	2.65829919671338e-151	1.00125899381623e-111
chr1	53128663	53130649	OD_hyper	OD_hyper	1987	28	313.101796848055	0.5313	0.7454	0.2747	0.5494	0.4582	0.6146	8.41387992968914e-31	9.81261672636422e-22	3.4717939768903e-31
chr9	132210699	132212564	OD_hyper	OD_hyper	1866	20	312.902390076243	0.5223	0.9241	0.5772	0.9386	0.5018	0.7582	1.33417504135929e-22	2.17386553101338e-86	2.65615761433849e-19
chr18	24048765	24053171	OD_hyper	OD_hyper	4407	19	312.852637733646	0.4222	0.8196	0.5992	0.8673	0.5505	0.8471	4.03334618375463e-12	9.9232749628341e-82	1.56128819556195e-116
chr9	96249338	96252010	OD_hyper	OD_hyper	2673	21	312.809942021043	0.5616	0.8656	0.5522	0.8624	0.6424	0.9092	7.0491063087548e-48	7.02603293264301e-106	8.30888730959449e-60
chr11	133024208	133026724	OD_hyper	OD_hyper	2517	19	312.548169571315	0.4974	0.9061	0.5266	0.9102	0.6315	0.8745	3.76859204352902e-15	4.26978261753275e-105	1.30551275717704e-84
chr4	25400796	25403524	OD_hyper	OD_hyper	2729	22	311.986861466627	0.6426	0.9281	0.6205	0.8766	0.7204	0.9418	8.0349084024236e-23	5.91373512020078e-151	7.85374580077987e-132
chr18	42318770	42322434	OD_hyper	OD_hyper	3665	16	311.892605149142	0.4646	0.9415	0.4241	0.9282	0.4921	0.9072	5.32907089313146e-81	1.9190227430439e-247	1.03607856188774e-187
chr19	39203852	39207450	OD_hyper	OD_hyper	3599	18	311.830890545765	0.5349	0.7027	0.4957	0.8657	0.6545	0.8269	6.2260526267301e-23	1.10149267582391e-27	2.51427786079525e-31
chr12	76813767	76817819	OD_hyper	OD_hyper	4053	21	311.77761433455	0.3708	0.6494	0.3129	0.6305	0.4186	0.6022	5.206875510584e-73	6.01580273083894e-115	4.1766398589085e-22
chr8	64515576	64519851	OD_hyper	OD_hyper	4276	22	311.757961695639	0.4685	0.7467	0.3782	0.7149	0.2569	0.6252	1.21441973899927e-208	2.02955400121798e-213	0
chr3	185638916	185641060	OD_hyper	OD_hyper	2145	27	311.735515115392	0.6637	0.8567	0.6416	0.8798	0.5787	0.7939	7.78489399304301e-36	2.00107854605243e-40	7.16381228553038e-99
chr2	9367479	9372535	OD_hyper	OD_hyper	5057	21	311.561587932648	0.6129	0.8181	0.597	0.8386	0.6448	0.8373	4.63213995027867e-18	9.43714069597969e-46	8.09698920004176e-53
chr22	28238620	28239288	OD_hyper	OD_hyper	669	14	311.525019836409	0.2822	0.8317	0.3104	0.8483	0.4213	0.8902	9.98595740825512e-97	0	4.35814254028118e-303
chr16	64276812	64277747	OD_hyper	OD_hyper	936	17	311.5202801459	0.5485	0.9545	0.4962	0.9357	0.6756	0.941	6.34023882686422e-40	2.14830755469886e-118	2.30609527778887e-25
chr13	102721778	102724693	OD_hyper	OD_hyper	2916	13	311.379133280972	0.6714	0.8566	0.5144	0.9266	0.6138	0.7837	1.16978896483123e-179	1.50963498770096e-96	8.82433401845491e-34
chr2	7540992	7542800	OD_hyper	OD_hyper	1809	19	311.314916261656	0.4754	0.8482	0.4618	0.8677	0.589	0.8714	4.14884386774281e-23	1.74099248953655e-103	1.74817823877265e-73
chr4	176614272	176622544	OD_hyper	OD_hyper	8273	21	311.267579121359	0.5845	0.9242	0.6942	0.9063	0.6185	0.8792	6.14425224903424e-17	4.23175287575543e-108	1.27997381148116e-101
chr21	27545029	27546651	OD_hyper	OD_hyper	1623	20	311.154847657768	0.6203	0.9625	0.6321	0.9583	0.501	0.9578	4.87820867308354e-28	6.06164457468054e-70	6.81210741428832e-137
chr2	101451561	101452627	OD_hyper	OD_hyper	1067	18	311.071716217472	0.4417	0.8602	0.4788	0.8812	0.5934	0.9521	2.13837288936498e-38	4.7537025695571e-64	2.99498035888949e-246
chr20	19981946	19984506	OD_hyper	OD_hyper	2561	28	311.021446295778	0.3705	0.702	0.4186	0.717	0.4568	0.8076	3.53670362257507e-14	6.96347084355473e-32	1.04993697969464e-63
chr1	113838734	113842835	OD_hyper	OD_hyper	4102	21	311.00425709417	0.5978	0.8977	0.6912	0.907	0.6593	0.8838	1.5961560650457e-20	6.61982880854757e-124	7.48042177619038e-102
chr2	217232009	217235761	OD_hyper	OD_hyper	3753	15	310.883146312836	0.2712	0.7123	0.1793	0.638	0.4264	0.7878	4.93222452647571e-223	2.34300701253017e-119	1.08655416020913e-250
chr2	11725303	11726773	OD_hyper	OD_hyper	1471	21	310.809600150717	0.6335	0.949	0.6719	0.9297	0.5385	0.8853	5.18743080412864e-19	3.08540031611034e-88	5.81713394005737e-109
chr8	4610972	4612456	OD_hyper	OD_hyper	1485	15	310.798317479063	0.462	0.9347	0.4293	0.9427	0.4194	0.9282	5.6445577861022e-50	1.11125646865468e-266	9.15713600770439e-231
chr22	30743240	30745459	OD_hyper	OD_hyper	2220	18	310.673325624856	0.5839	0.8975	0.6	0.9154	0.5359	0.8828	1.58821283520923e-55	2.43169226050548e-131	1.6342521127614e-58
chr12	132502387	132503644	OD_hyper	OD_hyper	1258	19	310.660590944442	0.5844	0.9306	0.5758	0.923	0.7032	0.8679	1.51253159138748e-91	1.34877379355798e-206	1.26321450454611e-44
chr10	126980449	126982285	OD_hyper	OD_hyper	1837	22	310.652348741581	0.5706	0.8686	0.5379	0.8505	0.7281	0.9054	3.14093410920914e-51	5.36317285924458e-166	3.69852347048544e-124
chr16	19689070	19691516	OD_hyper	OD_hyper	2447	23	310.570353569084	0.4759	0.8347	0.576	0.8191	0.6486	0.8508	6.21842873597591e-10	9.5350617111802e-99	5.24915980969714e-44
chr2	23878138	23882246	OD_hyper	OD_hyper	4109	17	310.400310496086	0.4421	0.7514	0.4984	0.768	0.4839	0.7778	7.6311028904658e-20	1.25558545827758e-27	3.71651622269055e-100
chr5	175228610	175229865	OD_hyper	OD_hyper	1256	15	310.388067023576	0.4236	0.8899	0.4026	0.8769	0.452	0.8407	3.01327566387674e-33	1.93484543476636e-175	9.13706460941158e-44
