Category	Term	chr	str	end	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD
interaction	HGD_NeuN_hypo	chr16	6352287	6352651	365	4	20.136650342614	0.4478	0.8108	0.8193	0.9017	0.8109	0.6969
interaction	HGD_NeuN_hypo	chr8	80710238	80710727	490	4	20.1222315078148	0.6272	0.8708	0.8849	0.9489	0.9376	0.9434
interaction	HGD_NeuN_hypo	chr17	25597716	25598300	585	5	20.1172764335821	0.6874	0.9035	0.8531	0.8984	0.9587	0.8584
interaction	HGD_NeuN_hypo	chr5	10386544	10387154	611	6	20.1112431534481	0.673	0.9639	0.8461	0.9626	0.7845	0.9608
interaction	HGD_NeuN_hypo	chr9	96015937	96016119	183	4	20.1067480488604	0.6294	0.9608	0.926	0.9667	0.8214	0.9258
interaction	HGD_NeuN_hypo	chr5	55529375	55529572	198	5	20.0873347596583	0.2302	0.5366	0.4083	0.442	0.5125	0.5487
interaction	HGD_NeuN_hypo	chr3	107754467	107754789	323	4	20.0871050519659	0.5864	0.8835	0.7786	0.7728	0.8238	0.7164
interaction	HGD_NeuN_hypo	chr5	132846477	132846546	70	5	20.0770698731736	0.521	0.9625	0.7732	0.9515	0.9635	0.9588
interaction	HGD_NeuN_hypo	chr20	45997050	45997361	312	4	20.0754167817756	0.6588	0.9001	0.916	0.8753	0.8103	0.8819
interaction	HGD_NeuN_hypo	chr14	95462759	95462854	96	4	20.0728458347965	0.626	0.9698	0.8759	0.9542	0.8477	0.9552
interaction	HGD_NeuN_hypo	chr1	11026449	11026635	187	5	20.0600196757059	0.664	0.7723	0.8676	0.8189	0.9428	0.8716
interaction	HGD_NeuN_hypo	chr9	97061373	97061832	460	5	20.0488879814322	0.3116	0.8726	0.4938	0.8734	0.9183	0.802
interaction	HGD_NeuN_hypo	chr2	222112887	222114210	1324	4	20.032256161314	0.6304	0.9286	0.7876	0.8589	0.968	0.9498
interaction	HGD_NeuN_hypo	chr13	107632876	107633344	469	5	20.025803112973	0.6372	0.9254	0.8214	0.8698	0.8165	0.9504
interaction	HGD_NeuN_hypo	chr21	37657683	37657828	146	5	20.0246859323786	0.592	0.9615	0.828	0.9644	0.7393	0.9436
interaction	HGD_NeuN_hypo	chr1	31435229	31435406	178	4	20.0186590320025	0.6894	0.9527	0.923	0.9352	0.9193	0.9526
interaction	HGD_NeuN_hypo	chr6	148478868	148479001	134	4	20.0095511060181	0.7578	0.9646	0.9428	0.9567	0.964	0.962
interaction	HGD_NeuN_hypo	chr4	146269080	146269901	822	4	20.0062837153109	0.424	0.8848	0.7723	0.9221	0.6768	0.9298
interaction	HGD_NeuN_hypo	chr10	93947299	93948049	751	4	20.0043553451527	0.5001	0.8253	0.6915	0.7411	0.9573	0.9362
interaction	HGD_NeuN_hypo	chr14	34798290	34798975	686	5	20.0012573299022	0.7593	0.9032	0.895	0.9223	0.8954	0.9153
interaction	HGD_NeuN_hypo	chr1	110045408	110045558	151	4	20.0008683523169	0.49	0.941	0.7245	0.9336	0.6933	0.9477
interaction	HGD_NeuN_hypo	chr13	72031291	72031797	507	4	19.9941763927097	0.7621	0.896	0.9501	0.9305	0.935	0.9408
interaction	HGD_NeuN_hypo	chr11	125269832	125270337	506	5	19.9918856282368	0.2926	0.9196	0.6084	0.9495	0.6654	0.8889
interaction	HGD_NeuN_hypo	chr1	222170227	222171062	836	4	19.9778842608237	0.7151	0.956	0.8582	0.9352	0.9439	0.9324
interaction	HGD_NeuN_hypo	chr2	170293139	170294335	1197	4	19.9769617017673	0.6946	0.8961	0.9076	0.9289	0.9321	0.9156
interaction	HGD_NeuN_hypo	chr14	49673832	49674477	646	4	19.9589717773633	0.6195	0.9357	0.8368	0.9236	0.9702	0.9709
interaction	HGD_NeuN_hypo	chr16	23961372	23962546	1175	6	19.956390798703	0.5097	0.9008	0.6256	0.8671	0.5745	0.9048
interaction	HGD_NeuN_hypo	chr2	3226053	3226444	392	4	19.9448944822092	0.4735	0.9577	0.7144	0.8722	0.6456	0.863
interaction	HGD_NeuN_hypo	chr1	77547883	77548264	382	4	19.9357243417983	0.6677	0.9427	0.845	0.9356	0.8842	0.832
interaction	HGD_NeuN_hypo	chr12	132204068	132204454	387	6	19.9298599834504	0.6196	0.89	0.8247	0.8989	0.8954	0.9122
interaction	HGD_NeuN_hypo	chr8	68624939	68625125	187	5	19.9295884993804	0.7382	0.9575	0.8928	0.9509	0.9694	0.972
interaction	HGD_NeuN_hypo	chr10	29562222	29562895	674	4	19.9234851804605	0.5392	0.9272	0.7877	0.9301	0.9359	0.8548
interaction	HGD_NeuN_hypo	chr10	131305886	131306150	265	4	19.9209673496229	0.6994	0.9546	0.9046	0.9514	0.9679	0.8965
interaction	HGD_NeuN_hypo	chr10	15231594	15231765	172	5	19.918709384922	0.6639	0.9044	0.8997	0.923	0.9604	0.926
interaction	HGD_NeuN_hypo	chr10	12946079	12946188	110	4	19.9151051894232	0.7015	0.9451	0.9435	0.9594	0.959	0.9094
interaction	HGD_NeuN_hypo	chr11	60708026	60708478	453	4	19.904070384073	0.4902	0.8613	0.8294	0.897	0.7833	0.8126
interaction	HGD_NeuN_hypo	chr3	74401676	74402090	415	4	19.9009946517145	0.7266	0.9601	0.9215	0.951	0.9845	0.9635
interaction	HGD_NeuN_hypo	chr2	169169255	169169697	443	5	19.8958270733023	0.6803	0.8215	0.8142	0.8041	0.8576	0.8235
interaction	HGD_NeuN_hypo	chr7	41229637	41230043	407	4	19.8952927447884	0.7238	0.9608	0.8631	0.9425	0.8831	0.9342
interaction	HGD_NeuN_hypo	chr8	4331728	4332131	404	4	19.8890469268533	0.6164	0.9156	0.8654	0.9392	0.8677	0.8623
interaction	HGD_NeuN_hypo	chr1	94373305	94373792	488	4	19.8855297051731	0.3462	0.6218	0.4762	0.5208	0.7529	0.5941
interaction	HGD_NeuN_hypo	chr12	43460629	43461133	505	4	19.8747851547083	0.6659	0.9311	0.8957	0.9309	0.9639	0.9068
interaction	HGD_NeuN_hypo	chr8	92677489	92678438	950	4	19.8543130181186	0.4805	0.8748	0.7699	0.8671	0.8523	0.9086
interaction	HGD_NeuN_hypo	chr5	35795486	35796167	682	4	19.8445678300652	0.746	0.9373	0.9481	0.9502	0.9343	0.9366
interaction	HGD_NeuN_hypo	chr18	3707023	3707470	448	5	19.816927314987	0.6769	0.9687	0.8873	0.9361	0.8908	0.9618
interaction	HGD_NeuN_hypo	chr7	78698004	78698333	330	4	19.8108634895625	0.7591	0.9089	0.9212	0.8769	0.9714	0.8826
interaction	HGD_NeuN_hypo	chr20	53445728	53445810	83	4	19.8050439960105	0.6708	0.9076	0.8427	0.8301	0.9379	0.8651
interaction	HGD_NeuN_hypo	chr4	83416982	83417308	327	4	19.7997840090432	0.7028	0.9595	0.9012	0.9646	0.9497	0.9507
interaction	HGD_NeuN_hypo	chr11	67819825	67820488	664	6	19.7983778518322	0.7503	0.8884	0.8921	0.8963	0.8421	0.8625
interaction	HGD_NeuN_hypo	chr19	29811670	29811849	180	4	19.7711653552182	0.4782	0.9192	0.7647	0.8582	0.823	0.7399
interaction	HGD_NeuN_hypo	chr3	59683694	59683963	270	4	19.7703867942981	0.668	0.8854	0.8612	0.8711	0.8887	0.9015
interaction	HGD_NeuN_hypo	chr6	4346639	4346907	269	4	19.7682942060389	0.7595	0.9679	0.9565	0.9519	0.9513	0.9563
interaction	HGD_NeuN_hypo	chr6	109727410	109727623	214	4	19.7542481730619	0.6285	0.9399	0.8842	0.9242	0.8181	0.9066
interaction	HGD_NeuN_hypo	chr3	10343088	10343387	300	4	19.743286248752	0.3703	0.8153	0.7404	0.8803	0.7953	0.919
interaction	HGD_NeuN_hypo	chr14	99902894	99903173	280	5	19.7420334840725	0.5159	0.8386	0.7166	0.8216	0.7524	0.8883
interaction	HGD_NeuN_hypo	chr20	16707982	16708620	639	4	19.7365346656883	0.6999	0.8365	0.8611	0.8463	0.9436	0.957
interaction	HGD_NeuN_hypo	chr18	46534104	46534209	106	5	19.7303495052572	0.6045	0.96	0.8067	0.9516	0.8935	0.9426
interaction	HGD_NeuN_hypo	chr1	77231361	77231547	187	4	19.7299991525725	0.6787	0.9448	0.8658	0.9296	0.8011	0.9245
interaction	HGD_NeuN_hypo	chr21	31355340	31356987	1648	5	19.7250051095854	0.7398	0.9326	0.8823	0.9291	0.8702	0.9168
interaction	HGD_NeuN_hypo	chr10	117907238	117908149	912	4	19.7186198643305	0.5763	0.9174	0.9008	0.8593	0.8017	0.8304
interaction	HGD_NeuN_hypo	chr7	156970838	156971116	279	4	19.7124882172685	0.6317	0.8306	0.8132	0.7675	0.9194	0.9094
interaction	HGD_NeuN_hypo	chr4	25770146	25770892	747	4	19.6854539387087	0.3153	0.7192	0.6323	0.6896	0.5382	0.6032
interaction	HGD_NeuN_hypo	chr6	1601022	1601144	123	4	19.6798369566066	0.7998	0.9321	0.966	0.9208	0.9561	0.9444
interaction	HGD_NeuN_hypo	chr19	33663447	33663770	324	4	19.6758640302046	0.6995	0.9121	0.9039	0.9027	0.9206	0.8652
interaction	HGD_NeuN_hypo	chr18	72544124	72544323	200	4	19.6660028107471	0.7564	0.9641	0.9221	0.9464	0.9688	0.9602
interaction	HGD_NeuN_hypo	chr8	80974117	80974542	426	4	19.6655576171422	0.7226	0.9688	0.9117	0.9462	0.8272	0.9647
interaction	HGD_NeuN_hypo	chr14	61947773	61948014	242	5	19.6653027620112	0.491	0.896	0.6536	0.8572	0.5894	0.8182
interaction	HGD_NeuN_hypo	chr5	7059416	7060330	915	4	19.6526093926098	0.6834	0.8152	0.9289	0.8962	0.8904	0.8501
interaction	HGD_NeuN_hypo	chr1	241791354	241791533	180	6	19.643731315332	0.5283	0.852	0.6845	0.8309	0.7982	0.9498
interaction	HGD_NeuN_hypo	chr8	27283673	27284211	539	5	19.615797121888	0.4211	0.5573	0.6865	0.5644	0.7017	0.5942
interaction	HGD_NeuN_hypo	chr18	54614959	54615206	248	5	19.6151570136584	0.5558	0.9657	0.7709	0.9739	0.854	0.9674
interaction	HGD_NeuN_hypo	chr9	36702507	36703315	809	5	19.6124296525174	0.5427	0.9185	0.733	0.9025	0.7562	0.9038
interaction	HGD_NeuN_hypo	chr8	140914271	140914367	97	5	19.6070479742799	0.5766	0.9629	0.7856	0.9279	0.765	0.9724
interaction	HGD_NeuN_hypo	chr11	108831176	108832319	1144	5	19.5895335747402	0.4908	0.8967	0.7461	0.8802	0.6523	0.8969
interaction	HGD_NeuN_hypo	chr4	184979660	184980041	382	5	19.5500413625826	0.6959	0.9463	0.8692	0.9033	0.9575	0.9332
interaction	HGD_NeuN_hypo	chr11	134603316	134603989	674	4	19.5408777512363	0.49	0.8792	0.7401	0.9225	0.9588	0.9517
interaction	HGD_NeuN_hypo	chr12	1211881	1212289	409	5	19.5379671172116	0.7523	0.9303	0.874	0.9377	0.867	0.8944
interaction	HGD_NeuN_hypo	chr10	23244176	23244618	443	5	19.5370720410664	0.4977	0.94	0.6995	0.9513	0.8273	0.8994
interaction	HGD_NeuN_hypo	chr6	131205728	131206361	634	4	19.5342273579007	0.5066	0.8003	0.7658	0.7695	0.8395	0.8904
interaction	HGD_NeuN_hypo	chr1	186816596	186817450	855	5	19.5326112273606	0.5063	0.7678	0.744	0.7836	0.7453	0.8657
interaction	HGD_NeuN_hypo	chr1	229688322	229688625	304	5	19.5252707017569	0.4143	0.6352	0.9036	0.8655	0.8959	0.8985
interaction	HGD_NeuN_hypo	chr17	78822336	78822406	71	5	19.5248266570234	0.7026	0.9636	0.8446	0.9253	0.9719	0.9502
interaction	HGD_NeuN_hypo	chr16	56505222	56505351	130	4	19.5215974946959	0.6658	0.9622	0.9245	0.936	0.8583	0.8882
interaction	HGD_NeuN_hypo	chr2	41935521	41936049	529	5	19.5198468690195	0.5826	0.8992	0.8384	0.9258	0.7756	0.8998
interaction	HGD_NeuN_hypo	chr8	28583410	28583541	132	5	19.4809879659759	0.5917	0.8931	0.7512	0.8598	0.8978	0.9123
interaction	HGD_NeuN_hypo	chr6	23301047	23302838	1792	5	19.4789401153735	0.5948	0.795	0.7917	0.737	0.7484	0.8158
interaction	HGD_NeuN_hypo	chr19	5656538	5656736	199	4	19.4755339197867	0.599	0.9419	0.9397	0.9549	0.9701	0.9483
interaction	HGD_NeuN_hypo	chr15	65768862	65769262	401	5	19.4739021584308	0.7372	0.9047	0.9142	0.923	0.9628	0.9577
interaction	HGD_NeuN_hypo	chr15	39005805	39005960	156	5	19.4678116550825	0.7615	0.8858	0.9519	0.9102	0.9633	0.9567
interaction	HGD_NeuN_hypo	chr3	169825637	169826393	757	4	19.46642611846	0.5779	0.962	0.8189	0.9558	0.9228	0.9335
interaction	HGD_NeuN_hypo	chr16	56306037	56306180	144	6	19.4624283253603	0.6997	0.9388	0.8931	0.9656	0.8906	0.852
interaction	HGD_NeuN_hypo	chr12	120121324	120121494	171	4	19.457746337116	0.5451	0.8454	0.8364	0.872	0.9604	0.9656
interaction	HGD_NeuN_hypo	chr3	170444635	170445753	1119	5	19.4511074369591	0.5593	0.9164	0.8173	0.9443	0.7196	0.9173
interaction	HGD_NeuN_hypo	chr5	89259326	89261067	1742	4	19.4509693202441	0.7062	0.9333	0.9308	0.9387	0.954	0.908
interaction	HGD_NeuN_hypo	chr17	77029178	77029386	209	5	19.4357489899761	0.5878	0.8959	0.8888	0.9034	0.9132	0.931
interaction	HGD_NeuN_hypo	chr20	49678689	49678904	216	4	19.4322674331468	0.7261	0.9239	0.9576	0.9462	0.951	0.8882
interaction	HGD_NeuN_hypo	chr2	198705088	198705290	203	4	19.4313325255592	0.5487	0.7771	0.8093	0.7909	0.9373	0.951
interaction	HGD_NeuN_hypo	chr10	133365703	133366338	636	4	19.4311571333979	0.5743	0.802	0.9464	0.905	0.9153	0.7676
interaction	HGD_NeuN_hypo	chr2	30490439	30490692	254	5	19.4284432881364	0.7651	0.9553	0.9153	0.9581	0.9675	0.9464
interaction	HGD_NeuN_hypo	chr7	102940272	102940418	147	4	19.4188074940629	0.5584	0.9569	0.8517	0.9668	0.8708	0.9647
interaction	HGD_NeuN_hypo	chr8	8993102	8994049	948	5	19.4179607789467	0.5318	0.7914	0.787	0.8044	0.9519	0.8804
interaction	HGD_NeuN_hypo	chr2	160718826	160718923	98	4	19.402904115646	0.5753	0.9668	0.8466	0.9529	0.9673	0.9631
interaction	HGD_NeuN_hypo	chr5	10871922	10871983	62	4	19.3972594479731	0.4124	0.9645	0.6973	0.9589	0.8408	0.8859
interaction	HGD_NeuN_hypo	chr7	2917257	2917533	277	4	19.3922235723167	0.7527	0.944	0.9472	0.9355	0.8629	0.9246
interaction	HGD_NeuN_hypo	chr16	69186034	69186337	304	5	19.3880648743591	0.7486	0.9349	0.89	0.9226	0.9624	0.9388
interaction	HGD_NeuN_hypo	chr9	35470984	35471131	148	4	19.3770779390209	0.765	0.9565	0.9285	0.9472	0.9712	0.9244
interaction	HGD_NeuN_hypo	chr1	211059728	211060083	356	4	19.3687487040031	0.7221	0.9444	0.9358	0.952	0.877	0.9402
interaction	HGD_NeuN_hypo	chr2	106713176	106713390	215	4	19.3651930595868	0.7646	0.957	0.9544	0.9572	0.9492	0.9492
interaction	HGD_NeuN_hypo	chr2	25291529	25291591	63	5	19.3633894333506	0.4605	0.9082	0.7149	0.8663	0.8308	0.9408
interaction	HGD_NeuN_hypo	chr14	38080048	38080153	106	4	19.3631807422788	0.4276	0.5281	0.6393	0.5455	0.7587	0.7185
interaction	HGD_NeuN_hypo	chr18	67698512	67699034	523	4	19.3388333985746	0.6972	0.9652	0.8542	0.9585	0.9641	0.9802
interaction	HGD_NeuN_hypo	chr13	98631628	98631769	142	4	19.3383654462949	0.7094	0.945	0.9253	0.9624	0.9532	0.9553
interaction	HGD_NeuN_hypo	chr4	164085936	164086175	240	4	19.3376222191663	0.6233	0.8401	0.8599	0.8654	0.8833	0.8987
interaction	HGD_NeuN_hypo	chr8	141526301	141526391	91	4	19.312817207745	0.5909	0.9458	0.8405	0.9292	0.8845	0.9454
interaction	HGD_NeuN_hypo	chr1	232521548	232521632	85	4	19.3045749558896	0.56	0.9564	0.8832	0.9598	0.9148	0.9695
interaction	HGD_NeuN_hypo	chr16	85262268	85262359	92	4	19.3021790488397	0.7198	0.8396	0.9691	0.9106	0.9743	0.9145
interaction	HGD_NeuN_hypo	chr11	126068709	126069272	564	4	19.2916692673506	0.4758	0.9223	0.6666	0.8799	0.7545	0.9241
interaction	HGD_NeuN_hypo	chr6	14771168	14771831	664	4	19.2911527266565	0.6195	0.9374	0.8118	0.9112	0.7993	0.923
interaction	HGD_NeuN_hypo	chr18	56061980	56062708	729	5	19.2908232054151	0.6243	0.9555	0.7625	0.9414	0.8642	0.9138
interaction	HGD_NeuN_hypo	chr17	17367892	17368397	506	6	19.2865927077133	0.4998	0.8151	0.7701	0.862	0.6438	0.7774
interaction	HGD_NeuN_hypo	chr2	42287363	42287688	326	4	19.26007412693	0.6199	0.7785	0.8408	0.7342	0.8834	0.877
interaction	HGD_NeuN_hypo	chr2	242787716	242787954	239	4	19.2595891825814	0.6552	0.8962	0.8257	0.8797	0.9603	0.9543
interaction	HGD_NeuN_hypo	chr10	134563955	134564032	78	4	19.2588181430116	0.4248	0.9719	0.7036	0.956	0.7702	0.9456
interaction	HGD_NeuN_hypo	chr4	38030322	38030406	85	5	19.2506500358957	0.6138	0.9036	0.8378	0.9297	0.8277	0.8333
interaction	HGD_NeuN_hypo	chr12	15225368	15225863	496	4	19.2480377693078	0.5879	0.9426	0.7684	0.9431	0.8031	0.7549
interaction	HGD_NeuN_hypo	chr9	140637040	140637617	578	5	19.226587072013	0.6113	0.8431	0.7894	0.8112	0.8107	0.916
interaction	HGD_NeuN_hypo	chr17	39602880	39603801	922	4	19.2263332537201	0.6122	0.8373	0.8158	0.8126	0.9121	0.7629
interaction	HGD_NeuN_hypo	chr13	68634194	68634297	104	5	19.224061566464	0.7227	0.9287	0.849	0.881	0.8695	0.8539
interaction	HGD_NeuN_hypo	chr20	40093431	40093489	59	4	19.2228554532423	0.668	0.8854	0.9219	0.9368	0.8723	0.9001
interaction	HGD_NeuN_hypo	chr11	92787532	92787950	419	4	19.2178618736965	0.6627	0.9372	0.8696	0.9532	0.9563	0.9603
interaction	HGD_NeuN_hypo	chr17	35500892	35501236	345	5	19.2163167564479	0.7699	0.9336	0.8703	0.9062	0.8775	0.9275
interaction	HGD_NeuN_hypo	chr14	99288541	99288640	100	4	19.2123480985186	0.8	0.9231	0.9582	0.9126	0.9479	0.9384
interaction	HGD_NeuN_hypo	chr1	11473111	11473275	165	4	19.2048942733085	0.6856	0.953	0.8924	0.906	0.8731	0.9343
interaction	HGD_NeuN_hypo	chr9	99275900	99276413	514	5	19.1979653866413	0.6766	0.8881	0.9295	0.9047	0.9664	0.9368
interaction	HGD_NeuN_hypo	chr12	109735493	109735704	212	4	19.1972218045786	0.4717	0.7749	0.6343	0.6971	0.6364	0.7116
interaction	HGD_NeuN_hypo	chr5	12357417	12357828	412	4	19.1849715401101	0.5211	0.8171	0.7291	0.8433	0.8153	0.8373
interaction	HGD_NeuN_hypo	chr8	128906394	128906895	502	4	19.1744454940679	0.4554	0.8898	0.6515	0.8491	0.7742	0.9677
interaction	HGD_NeuN_hypo	chr12	19716837	19717627	791	4	19.174152230343	0.7493	0.9411	0.952	0.9044	0.9615	0.9434
interaction	HGD_NeuN_hypo	chr6	24799012	24799319	308	6	19.1662208673929	0.6918	0.9503	0.8484	0.9578	0.9464	0.9392
interaction	HGD_NeuN_hypo	chr7	132113872	132115031	1160	5	19.1589320163723	0.6702	0.8921	0.87	0.9066	0.8684	0.8404
interaction	HGD_NeuN_hypo	chr6	14948671	14948937	267	4	19.1420475323759	0.6621	0.9473	0.8418	0.9248	0.7521	0.8954
interaction	HGD_NeuN_hypo	chr16	87614310	87614552	243	5	19.1397105950688	0.6903	0.9399	0.8843	0.9488	0.9302	0.9474
interaction	HGD_NeuN_hypo	chr14	55195974	55196433	460	5	19.1243417113915	0.8092	0.9546	0.9461	0.963	0.9298	0.9108
interaction	HGD_NeuN_hypo	chr3	68661569	68663210	1642	5	19.1147856873736	0.4912	0.7355	0.712	0.7377	0.9325	0.9551
interaction	HGD_NeuN_hypo	chr1	193527883	193529052	1170	5	19.112534799784	0.6001	0.7838	0.8084	0.8542	0.8663	0.7148
interaction	HGD_NeuN_hypo	chr8	80553354	80553702	349	4	19.1019567070748	0.5143	0.8624	0.7093	0.8255	0.6534	0.8353
interaction	HGD_NeuN_hypo	chr19	56059421	56059493	73	6	19.1000367766461	0.7406	0.9185	0.9381	0.9285	0.888	0.9118
interaction	HGD_NeuN_hypo	chr12	2464573	2464963	391	4	19.0964983179672	0.5057	0.9445	0.8574	0.9561	0.7001	0.9448
interaction	HGD_NeuN_hypo	chr3	4532886	4533398	513	4	19.0928618803905	0.5996	0.8788	0.8933	0.8378	0.8923	0.7719
interaction	HGD_NeuN_hypo	chr3	52927114	52927498	385	4	19.0922276893312	0.4061	0.5526	0.8387	0.7787	0.9469	0.9438
interaction	HGD_NeuN_hypo	chr1	229065673	229066278	606	4	19.0803344475035	0.6733	0.9632	0.8611	0.9652	0.9059	0.9485
interaction	HGD_NeuN_hypo	chr17	63884531	63885005	475	4	19.0747791485329	0.7539	0.9395	0.9413	0.9592	0.9641	0.9442
interaction	HGD_NeuN_hypo	chr5	32270410	32270972	563	4	19.0647886103024	0.5758	0.8276	0.8842	0.9304	0.7652	0.7422
interaction	HGD_NeuN_hypo	chr15	89419521	89419621	101	4	19.0617684394196	0.702	0.9647	0.8788	0.9369	0.9518	0.9575
interaction	HGD_NeuN_hypo	chr5	43174890	43175061	172	4	19.0503976916234	0.7161	0.8855	0.9332	0.9275	0.9471	0.9402
interaction	HGD_NeuN_hypo	chr12	122778094	122778226	133	4	19.0501019413089	0.5141	0.9446	0.824	0.9653	0.9659	0.9768
interaction	HGD_NeuN_hypo	chr21	33567260	33567651	392	4	19.0488988899557	0.6612	0.9678	0.8432	0.9538	0.888	0.9486
interaction	HGD_NeuN_hypo	chr1	53958535	53958659	125	4	19.036877778053	0.5293	0.9492	0.7958	0.9497	0.8615	0.9664
interaction	HGD_NeuN_hypo	chr12	128334315	128334727	413	4	19.0004737944629	0.6391	0.9614	0.8258	0.9544	0.851	0.9632
interaction	HGD_NeuN_hypo	chr5	171986770	171986891	122	4	18.9955079421419	0.8279	0.9649	0.9315	0.9628	0.9517	0.9699
interaction	HGD_NeuN_hypo	chr18	56337389	56337581	193	4	18.9901417231248	0.5362	0.8537	0.7442	0.7847	0.9609	0.9314
interaction	HGD_NeuN_hypo	chr12	77156282	77156451	170	5	18.9884914554188	0.584	0.8126	0.8593	0.8807	0.8946	0.9449
interaction	HGD_NeuN_hypo	chr12	51253637	51254372	736	4	18.9683121790989	0.5271	0.7974	0.9131	0.9129	0.8899	0.7388
interaction	HGD_NeuN_hypo	chr14	102873682	102873982	301	4	18.9532476843383	0.5198	0.9138	0.7639	0.8747	0.8529	0.8845
interaction	HGD_NeuN_hypo	chr10	65870394	65870673	280	4	18.9471171545175	0.3951	0.8245	0.6835	0.9266	0.8801	0.9694
interaction	HGD_NeuN_hypo	chr7	4734697	4735049	353	5	18.9418138173503	0.4304	0.786	0.6075	0.6448	0.9048	0.8142
interaction	HGD_NeuN_hypo	chr16	30065509	30065702	194	4	18.9374275065781	0.5944	0.8634	0.9021	0.9572	0.933	0.9546
interaction	HGD_NeuN_hypo	chr6	70874841	70875384	544	4	18.9326998416072	0.7682	0.938	0.915	0.9282	0.9442	0.9306
interaction	HGD_NeuN_hypo	chr17	80878710	80879355	646	5	18.9301106699097	0.7334	0.9461	0.9169	0.9413	0.9408	0.8389
interaction	HGD_NeuN_hypo	chr19	38226027	38226305	279	4	18.9194218911763	0.5943	0.9252	0.8624	0.9191	0.8494	0.8373
interaction	HGD_NeuN_hypo	chr5	132576832	132577709	878	5	18.912426149322	0.6811	0.9172	0.8629	0.8981	0.8734	0.9678
interaction	HGD_NeuN_hypo	chr11	129079281	129079807	527	5	18.8951738394052	0.7105	0.9399	0.8253	0.8985	0.8627	0.9437
interaction	HGD_NeuN_hypo	chr9	33132310	33132606	297	4	18.8910500151302	0.3981	0.9507	0.712	0.9418	0.902	0.899
interaction	HGD_NeuN_hypo	chr10	66391721	66392863	1143	4	18.8887572267417	0.5557	0.9523	0.8204	0.9357	0.798	0.9248
interaction	HGD_NeuN_hypo	chr2	223868563	223868857	295	4	18.882622763473	0.7565	0.9495	0.9489	0.9507	0.9471	0.936
interaction	HGD_NeuN_hypo	chr1	77879907	77880422	516	5	18.8721759794609	0.7238	0.9456	0.8846	0.9469	0.9597	0.9642
interaction	HGD_NeuN_hypo	chr7	120006858	120007339	482	4	18.8620538858543	0.8189	0.9448	0.9562	0.9507	0.9608	0.9503
interaction	HGD_NeuN_hypo	chr6	47115678	47115789	112	4	18.8551502532928	0.5181	0.6937	0.7947	0.7079	0.8914	0.895
interaction	HGD_NeuN_hypo	chr2	42226083	42226233	151	4	18.8466026390508	0.6835	0.9445	0.8896	0.9402	0.8636	0.8335
interaction	HGD_NeuN_hypo	chr7	154473033	154473246	214	5	18.8461662338756	0.6789	0.9411	0.8432	0.9375	0.9646	0.941
interaction	HGD_NeuN_hypo	chr11	123356080	123356224	145	4	18.8409623824407	0.6276	0.9701	0.8667	0.9797	0.8246	0.8008
interaction	HGD_NeuN_hypo	chr3	147523595	147524105	511	4	18.8201173195442	0.2666	0.9312	0.5189	0.9408	0.6421	0.9405
interaction	HGD_NeuN_hypo	chr3	169757218	169757368	151	5	18.8194989908946	0.71	0.9314	0.9498	0.9538	0.9531	0.9328
interaction	HGD_NeuN_hypo	chr15	78527964	78528124	161	4	18.8184368169361	0.7242	0.9443	0.9684	0.9402	0.9668	0.927
interaction	HGD_NeuN_hypo	chr18	52961783	52961953	171	4	18.8138921935439	0.5958	0.947	0.8006	0.971	0.8744	0.9583
interaction	HGD_NeuN_hypo	chr14	101911112	101911299	188	5	18.8113711484081	0.5376	0.9213	0.7716	0.9396	0.9312	0.9402
interaction	HGD_NeuN_hypo	chr12	116993377	116993629	253	5	18.80880365636	0.6314	0.9554	0.8225	0.9142	0.7916	0.7795
interaction	HGD_NeuN_hypo	chr9	6241631	6242726	1096	4	18.8044674349302	0.7646	0.9643	0.8991	0.9553	0.962	0.9434
interaction	HGD_NeuN_hypo	chr5	7520312	7520471	160	4	18.8037497125392	0.4874	0.9337	0.808	0.9397	0.9024	0.9569
interaction	HGD_NeuN_hypo	chr1	42048455	42048539	85	4	18.8033959847129	0.7004	0.9527	0.9165	0.8574	0.8916	0.9566
interaction	HGD_NeuN_hypo	chr2	15261323	15261872	550	5	18.7994608091135	0.614	0.9334	0.827	0.918	0.9309	0.9614
interaction	HGD_NeuN_hypo	chr15	83589768	83590193	426	5	18.781763859635	0.5328	0.8878	0.8141	0.914	0.8426	0.9479
interaction	HGD_NeuN_hypo	chr16	7715001	7716221	1221	4	18.7781495499007	0.4901	0.9274	0.7181	0.8356	0.801	0.834
interaction	HGD_NeuN_hypo	chr13	111934901	111935187	287	4	18.7776622146072	0.3715	0.7846	0.6557	0.7946	0.6768	0.5583
interaction	HGD_NeuN_hypo	chr2	38770773	38770902	130	4	18.7759263645506	0.623	0.9389	0.8748	0.9435	0.9598	0.971
interaction	HGD_NeuN_hypo	chr16	25019307	25019954	648	4	18.7756027257901	0.6877	0.8963	0.9066	0.8947	0.9241	0.9339
interaction	HGD_NeuN_hypo	chr19	3469020	3469208	189	5	18.7677684763459	0.7286	0.9283	0.9177	0.9335	0.958	0.9576
interaction	HGD_NeuN_hypo	chr18	22974068	22975531	1464	5	18.7653224235706	0.4981	0.9181	0.6248	0.8532	0.9576	0.9597
